hyperfile,file,runid,new,P,Q,nlive,niter,logl,logz,logzerr,information,walltime
hyper_cmp,awb/arctic_a0094,0,True,3,5,500,23176,704.2942560773079,658.5347019050813,0.40042649207987246,40.97391544038703,1815.9348938465118
hyper_cmp,awb/arctic_a0094,0,True,4,5,500,18753,730.894983068946,693.9495238858894,nan,31.37716752212191,1728.2463533878326
hyper_cmp,awb/arctic_a0094,0,True,5,5,500,15161,749.7462658171313,719.9949453157325,1.9053641054174757e+140,25.336397645497982,1630.0263404846191
hyper_cmp,awb/arctic_a0094,0,True,6,5,500,14528,769.3588937847139,740.826751988318,1.9053641054174757e+140,22.715937917896667,1699.694884300232
hyper_cmp,awb/arctic_a0094,0,True,7,5,500,15160,784.3986172857714,754.6710439556637,1.9053641054174757e+140,25.526924621848366,1731.6768145561218
hyper_cmp,awb/arctic_a0094,0,True,8,5,500,13502,780.9781499869755,754.5130209876679,234787.74835433785,21.332329409334648,1531.4519279003143
hyper_cmp,awb/arctic_a0094,0,True,9,5,500,10993,775.2482902684596,753.8331789286218,16376501.98229172,17.272852276080926,1214.0553805828094
hyper_cmp,awb/arctic_a0094,0,True,10,5,500,11078,772.580973241425,750.9696816321214,1.9053641054174757e+140,16.759156379386468,1153.5730288028717
hyper_cmp,bdl/arctic_a0017,0,False,0,1,500,3736,-18.497258450257586,-25.119813101408806,0.14946095273330254,5.649626181443288,43.91910243034363
hyper_cmp,bdl/arctic_a0017,0,False,1,1,500,3781,-29.23287097642297,-35.94113764047,0.15078699240674942,5.724292453592803,69.47916412353516
hyper_cmp,bdl/arctic_a0017,0,False,2,1,500,3857,-27.105706814731867,-33.97438818869272,0.15438062499734137,5.795820366159994,96.08605933189392
hyper_cmp,bdl/arctic_a0017,0,False,3,1,500,4007,6.565046168058863,-0.6015963098295242,0.15789547635408915,6.11601133208313,129.52651453018188
hyper_cmp,bdl/arctic_a0017,0,False,4,1,500,4079,17.79649220583938,10.48746987875023,0.15873633921922023,6.317993689639069,169.1630415916443
hyper_cmp,bdl/arctic_a0017,0,False,5,1,500,4131,28.561529625541475,21.148294176401805,0.1600216442525337,6.402060844859584,214.00194120407104
hyper_cmp,bdl/arctic_a0017,0,False,6,1,500,3986,20.512321314340902,13.393528097964346,0.1551957155741219,6.187796647656818,254.03571844100952
hyper_cmp,bdl/arctic_a0017,0,False,7,1,500,4065,12.804560601809719,5.520206523386627,0.1590360991374798,6.245515425352353,302.31124663352966
hyper_cmp,bdl/arctic_a0017,0,False,8,1,500,3847,5.573738098017024,-1.2712202614993835,0.15301655470904665,5.832399298133197,342.86221742630005
hyper_cmp,bdl/arctic_a0017,0,False,9,1,500,3876,-1.5029650853821792,-8.40896989185453,0.15421603937869238,5.8657201909196495,395.968111038208
hyper_cmp,bdl/arctic_a0017,0,False,10,1,500,3877,-5.988490254579361,-12.891677617211814,0.15352371675587606,5.905298162798635,449.9310989379883
hyper_cmp,bdl/arctic_a0017,0,False,0,2,500,6618,-0.8763913042371758,-13.39013502739088,0.22330994449172442,10.460883827062311,138.44324445724487
hyper_cmp,bdl/arctic_a0017,0,False,1,2,500,6707,-11.88811954560694,-24.577573731111286,0.2255410893789058,10.598796005496219,192.66423535346985
hyper_cmp,bdl/arctic_a0017,0,False,2,2,500,6589,-2.519179161333362,-14.948666101269767,0.22198460238607026,10.548725956268349,230.54452276229858
hyper_cmp,bdl/arctic_a0017,0,False,3,2,500,7133,35.32279332258148,21.78464891933531,0.2311387641329441,11.552501151109333,317.6522617340088
hyper_cmp,bdl/arctic_a0017,0,False,4,2,500,7738,69.67848221476098,54.93618535547439,0.24190017508311779,12.74734386849778,432.9981746673584
hyper_cmp,bdl/arctic_a0017,0,False,5,2,500,7694,78.72100166329875,64.06582786902986,0.24193227761548813,12.605233783474858,535.342068195343
hyper_cmp,bdl/arctic_a0017,0,False,6,2,500,7335,72.87050104177217,58.93389365031125,0.23525725668638184,12.008019803765052,597.0208885669708
hyper_cmp,bdl/arctic_a0017,0,False,7,2,500,7809,69.97187001791174,55.08267082717904,0.24291638524126843,12.903575280431347,763.6615877151489
hyper_cmp,bdl/arctic_a0017,0,False,8,2,500,7601,61.344114166007735,46.87701080634138,0.24047049126827316,12.428298745677715,875.8042471408844
hyper_cmp,bdl/arctic_a0017,0,False,9,2,500,7685,56.32159859880268,41.685925040782614,0.24065895832793036,12.641727985418235,1029.2352187633514
hyper_cmp,bdl/arctic_a0017,0,False,10,2,500,7551,48.864055544334086,34.49946359826448,0.2391852338814954,12.345042297395892,1162.3441886901855
hyper_cmp,bdl/arctic_a0017,0,False,0,3,500,8887,8.309578737879267,-8.84734603925148,0.2618715919619633,13.867981380051786,234.759339094162
hyper_cmp,bdl/arctic_a0017,0,False,1,3,500,8845,-2.8138893399559066,-19.866234394389163,0.2646768606672916,13.925994663482658,307.0865144729614
hyper_cmp,bdl/arctic_a0017,0,False,2,3,500,8751,4.057302344830873,-12.814918320670863,0.2655292940865881,13.450851200189268,397.0705690383911
hyper_cmp,bdl/arctic_a0017,0,False,3,3,500,9926,61.775494439512,42.54559260895156,0.28009131447478686,15.893569933220498,503.1012704372406
hyper_cmp,bdl/arctic_a0017,0,False,4,3,500,10418,99.4169546060329,79.23001160689874,0.28821919916037825,17.141586179380027,662.080892086029
hyper_cmp,bdl/arctic_a0017,0,False,5,3,500,10970,131.1535870401525,109.85567782357212,0.29456928261461846,18.261022693094034,852.0926351547241
hyper_cmp,bdl/arctic_a0017,0,False,6,3,500,11310,123.86669754700726,101.90241685974806,0.29868452709235715,19.04421860606773,1070.843029499054
hyper_cmp,bdl/arctic_a0017,0,False,7,3,500,10983,119.3159982504432,98.01173569406211,0.293666365811105,18.48800079261065,1189.792554616928
hyper_cmp,bdl/arctic_a0017,0,False,8,3,500,10955,109.88176567805374,88.6426965742877,0.2950148692722805,18.390581218238026,1397.2890141010284
hyper_cmp,bdl/arctic_a0017,0,False,9,3,500,10897,103.02448513697342,81.89801489286769,0.29408454092148834,18.291791048350376,1573.4044144153595
hyper_cmp,bdl/arctic_a0017,0,False,10,3,500,10924,99.82751145739851,78.63295075227151,0.29303740097246755,18.224282118831525,1829.5373513698578
hyper_cmp,bdl/arctic_a0017,0,False,0,4,500,9795,4.548826963087318,-14.44224885607521,0.28034292314452763,15.231753035237908,261.4104528427124
hyper_cmp,bdl/arctic_a0017,0,False,1,4,500,10666,-6.714297159364001,-27.435697192090377,0.29190386599233087,16.887148856158127,405.26477241516113
hyper_cmp,bdl/arctic_a0017,0,False,2,4,500,10467,1.135935156471291,-19.206720365713785,0.2877688431040644,16.280727147703026,474.5562469959259
hyper_cmp,bdl/arctic_a0017,0,False,3,4,500,14243,86.74884122436333,58.84373185661486,0.33984489645303584,23.41832521571815,714.3433327674866
hyper_cmp,bdl/arctic_a0017,0,False,4,4,500,13728,113.02295191235665,86.18572463464098,0.3319032759893759,23.26874081627139,903.7425000667572
hyper_cmp,bdl/arctic_a0017,0,False,5,4,500,13582,151.11629683395188,124.53743165270623,0.3266388869823915,22.616097190232352,1076.5787076950073
hyper_cmp,bdl/arctic_a0017,0,False,6,4,500,13906,146.6142382488303,119.43354806674047,0.3353785406926305,23.605990386252458,1369.7184219360352
hyper_cmp,bdl/arctic_a0017,0,False,7,4,500,14146,149.3707035611049,121.6917648042599,0.3357070597163864,23.935252651736775,1616.4187655448914
hyper_cmp,bdl/arctic_a0017,0,False,8,4,500,13427,138.97288920409176,112.74867103272258,0.3286403606232294,22.745933607100156,1768.1199581623077
hyper_cmp,bdl/arctic_a0017,0,False,9,4,500,13910,137.04404687727387,109.83164458739319,0.33079055266449364,23.421506089319593,2103.7125165462494
hyper_cmp,bdl/arctic_a0017,0,False,10,4,500,13740,131.04710002781607,104.20848591649843,0.3342460269828824,23.434850125800054,2402.8747911453247
hyper_cmp,bdl/arctic_a0017,0,False,0,5,500,12522,-2.2557266988092977,-26.765554334742127,0.3131074398324836,19.060819466648848,394.452210187912
hyper_cmp,bdl/arctic_a0017,0,False,1,5,500,14359,-8.501373766725475,-36.67927105777681,0.34489283684255456,21.946021865675046,639.7911522388458
hyper_cmp,bdl/arctic_a0017,0,False,2,5,500,18417,7.065061279267297,-29.29909075809685,0.35685857014418815,23.566319880010933,1102.4555134773254
hyper_cmp,bdl/arctic_a0017,0,False,3,5,500,16099,79.64281956780988,47.973397081451324,0.35563326408182644,25.600559962361444,861.2920548915863
hyper_cmp,bdl/arctic_a0017,0,False,4,5,500,20206,115.26558124623651,75.33836435465237,0.39393069658188035,28.36543346907129,1569.9514329433441
